player_name,gb_actual_BA_23,gb_xBA_23,gb_luck_23,gb_count_23,gb_actual_BA_22,gb_xBA_22,gb_luck_22,gb_count_22,gb_luck_increase,ld_actual_BA_23,ld_xBA_23,ld_luck_23,ld_count_23,ld_actual_BA_22,ld_xBA_22,ld_luck_22,ld_count_22,ld_luck_increase,total_luck_increase
"Abreu, José",0.268,0.22,0.048,71,0.179,0.279,-0.1,67,0.14800000000000002,0.5,0.594,-0.094,38,0.72,0.691,0.029,25,-0.123,0.06305970149253734
"Adames, Willy",0.125,0.206,-0.081,56,0.188,0.222,-0.034,32,-0.047,0.731,0.676,0.054,26,0.579,0.615,-0.036,19,0.09,-0.0006466165413533849
"Aguilar, Jesús",0.231,0.187,0.044,26,0.297,0.234,0.063,37,-0.019000000000000003,0.579,0.593,-0.014,19,0.727,0.644,0.084,33,-0.098,-0.054721739130434786
"Albies, Ozzie",0.203,0.226,-0.023,74,0.27,0.257,0.013,63,-0.036,0.524,0.57,-0.046,42,0.583,0.565,0.019,36,-0.065,-0.04652093023255814
"Alonso, Pete",0.169,0.22,-0.05,59,0.2,0.275,-0.075,55,0.024999999999999994,0.562,0.656,-0.094,32,0.684,0.647,0.037,38,-0.131,-0.03434782608695653
"Alvarez, Yordan",0.208,0.254,-0.046,48,0.115,0.263,-0.148,52,0.102,0.714,0.712,0.002,28,0.63,0.635,-0.005,27,0.007,0.06829032258064516
"Anderson, Brian",0.2,0.227,-0.027,65,0.133,0.234,-0.1,30,0.07300000000000001,0.667,0.632,0.035,24,0.842,0.781,0.061,19,-0.025999999999999995,0.04215217391304349
"Anderson, Tim",0.253,0.248,0.005,79,0.297,0.204,0.093,74,-0.088,0.594,0.652,-0.058,32,0.725,0.633,0.092,40,-0.15,-0.10783999999999999
"Andrus, Elvis",0.194,0.211,-0.017,62,0.157,0.209,-0.052,51,0.034999999999999996,0.55,0.606,-0.056,20,0.667,0.602,0.065,30,-0.121,-0.012852760736196324
"Arenado, Nolan",0.179,0.236,-0.057,67,0.229,0.241,-0.012,35,-0.045,0.769,0.683,0.086,39,0.634,0.578,0.056,41,0.029999999999999992,-0.012032967032967036
"Arozarena, Randy",0.426,0.237,0.189,61,0.257,0.217,0.04,70,0.149,0.613,0.621,-0.008,31,0.733,0.661,0.073,30,-0.08099999999999999,0.07592708333333334
"Arraez, Luis",0.342,0.261,0.08,79,0.267,0.258,0.008,60,0.07200000000000001,0.661,0.62,0.041,56,0.879,0.626,0.253,33,-0.212,-0.038859649122807004
"Bell, Josh",0.195,0.257,-0.062,82,0.263,0.238,0.025,76,-0.087,0.6,0.66,-0.06,25,0.634,0.62,0.014,41,-0.074,-0.08316964285714286
"Bellinger, Cody",0.195,0.214,-0.018,41,0.256,0.316,-0.06,39,0.041999999999999996,0.643,0.591,0.052,28,0.704,0.635,0.069,27,-0.017000000000000008,0.017962962962962955
"Belt, Brandon",0.423,0.295,0.128,26,0.25,0.283,-0.033,24,0.161,0.611,0.534,0.077,18,0.625,0.64,-0.015,16,0.092,0.13307142857142856
"Benintendi, Andrew",0.221,0.231,-0.01,77,0.348,0.24,0.107,69,-0.11699999999999999,0.674,0.583,0.091,46,0.667,0.573,0.093,36,-0.0020000000000000018,-0.07564035087719298
"Bethancourt, Christian",0.222,0.242,-0.02,36,0.238,0.285,-0.047,42,0.027,0.824,0.617,0.206,17,0.667,0.649,0.017,15,0.189,0.07412727272727272
"Betts, Mookie",0.157,0.227,-0.07,51,0.222,0.255,-0.033,54,-0.037000000000000005,0.636,0.628,0.009,44,0.75,0.62,0.13,32,-0.12100000000000001,-0.0722707182320442
"Bichette, Bo",0.217,0.236,-0.019,92,0.208,0.246,-0.038,72,0.019,0.683,0.663,0.019,63,0.667,0.678,-0.011,39,0.03,0.023218045112781954
"Blackmon, Charlie",0.255,0.23,0.026,47,0.113,0.237,-0.124,71,0.15,0.646,0.59,0.055,48,0.786,0.682,0.104,28,-0.048999999999999995,0.07204123711340206
"Bogaerts, Xander",0.256,0.2,0.056,82,0.417,0.23,0.186,60,-0.13,0.688,0.627,0.06,32,0.641,0.644,-0.003,39,0.063,-0.06566666666666668
"Bohm, Alec",0.278,0.248,0.03,72,0.274,0.238,0.036,62,-0.005999999999999998,0.575,0.603,-0.028,40,0.5,0.617,-0.117,48,0.08900000000000001,0.03165765765765766
"Bregman, Alex",0.224,0.216,0.008,58,0.152,0.223,-0.071,46,0.07899999999999999,0.605,0.591,0.013,43,0.667,0.65,0.017,33,-0.004000000000000002,0.04395555555555554
"Buxton, Byron",0.233,0.229,0.003,43,0.2,0.228,-0.028,30,0.031,0.714,0.622,0.092,28,0.529,0.696,-0.167,17,0.259,0.11794915254237287
"Báez, Javier",0.182,0.193,-0.011,77,0.246,0.206,0.039,57,-0.05,0.719,0.65,0.069,32,0.591,0.568,0.023,22,0.046000000000000006,-0.022425531914893618
"Cabrera, Miguel",0.171,0.219,-0.049,41,0.235,0.238,-0.003,51,-0.046,0.647,0.627,0.02,17,0.8,0.671,0.129,30,-0.109,-0.06730215827338129
"Candelario, Jeimer",0.271,0.24,0.032,59,0.167,0.207,-0.041,48,0.07300000000000001,0.658,0.615,0.043,38,0.515,0.605,-0.089,33,0.132,0.09653370786516854
"Canha, Mark",0.185,0.207,-0.022,54,0.365,0.235,0.13,52,-0.152,0.714,0.602,0.113,28,0.583,0.6,-0.017,24,0.13,-0.059189873417721514
"Carlson, Dylan",0.216,0.245,-0.029,37,0.183,0.207,-0.024,60,-0.005000000000000001,0.688,0.62,0.068,16,0.72,0.566,0.154,25,-0.086,-0.029065217391304344
"Castellanos, Nick",0.292,0.261,0.031,72,0.236,0.269,-0.032,55,0.063,0.825,0.685,0.14,40,0.667,0.646,0.021,33,0.11900000000000001,0.08344
"Castro, Harold",0.244,0.25,-0.007,41,0.25,0.214,0.036,28,-0.043,0.72,0.668,0.052,25,0.65,0.696,-0.046,20,0.098,0.012657894736842111
"Castro, Willi",0.25,0.227,0.023,28,0.242,0.249,-0.007,33,0.03,0.722,0.703,0.019,18,0.562,0.736,-0.174,16,0.19299999999999998,0.08833684210526316
"Chapman, Matt",0.46,0.248,0.212,50,0.279,0.273,0.006,43,0.206,0.65,0.683,-0.033,40,0.619,0.651,-0.032,21,-0.0010000000000000009,0.12400649350649351
"Chisholm Jr., Jazz",0.25,0.216,0.034,48,0.308,0.253,0.055,39,-0.020999999999999998,0.737,0.656,0.081,19,0.652,0.654,-0.002,23,0.083,0.012860465116279075
"Contreras, Willson",0.167,0.252,-0.085,72,0.241,0.26,-0.019,54,-0.066,0.704,0.645,0.058,27,0.789,0.678,0.111,19,-0.053,-0.06252325581395349
"Cooper, Garrett",0.2,0.237,-0.037,40,0.25,0.261,-0.011,48,-0.026,0.594,0.594,-0.0,32,0.676,0.657,0.02,34,-0.02,-0.023428571428571427
"Correa, Carlos",0.219,0.245,-0.027,64,0.309,0.292,0.017,55,-0.044,0.594,0.614,-0.02,32,0.68,0.661,0.019,25,-0.039,-0.04238068181818182
"Crawford, J.P.",0.214,0.263,-0.049,56,0.31,0.209,0.102,58,-0.151,0.69,0.687,0.003,42,0.625,0.666,-0.041,40,0.044000000000000004,-0.06941836734693876
"Cron, C.J.",0.15,0.229,-0.079,40,0.288,0.263,0.026,52,-0.105,0.76,0.714,0.046,25,0.743,0.651,0.092,35,-0.046,-0.08171052631578947
"Cronenworth, Jake",0.174,0.209,-0.035,46,0.228,0.256,-0.028,57,-0.007000000000000003,0.537,0.598,-0.061,41,0.615,0.532,0.084,26,-0.14500000000000002,-0.06138823529411765
"Cruz, Nelson",0.25,0.264,-0.014,28,0.239,0.225,0.014,67,-0.028,0.682,0.638,0.043,22,0.581,0.592,-0.011,31,0.05399999999999999,0.0013648648648648606
"Davis, J.D.",0.211,0.266,-0.055,57,0.385,0.308,0.077,26,-0.132,0.743,0.721,0.022,35,0.4,0.682,-0.282,15,0.304,0.03190977443609022
"Devers, Rafael",0.156,0.254,-0.098,64,0.268,0.267,0.0,71,-0.098,0.719,0.719,-0.0,32,0.75,0.661,0.089,44,-0.089,-0.09475829383886256
"Drury, Brandon",0.259,0.24,0.019,54,0.163,0.263,-0.1,43,0.11900000000000001,0.606,0.65,-0.044,33,0.64,0.626,0.014,25,-0.057999999999999996,0.052767741935483885
"Díaz, Aledmys",0.18,0.193,-0.013,50,0.258,0.228,0.03,31,-0.043,0.538,0.528,0.01,26,0.4,0.544,-0.144,25,0.154,0.03311363636363636
"Díaz, Elias",0.328,0.259,0.07,67,0.14,0.231,-0.092,43,0.162,0.579,0.598,-0.019,38,0.636,0.651,-0.014,22,-0.004999999999999999,0.10305882352941177
"Díaz, Yandy",0.312,0.29,0.023,64,0.242,0.237,0.006,66,0.017,0.706,0.703,0.003,34,0.6,0.627,-0.027,25,0.03,0.021058201058201057
"Edman, Tommy",0.286,0.254,0.032,77,0.291,0.259,0.032,79,0.0,0.533,0.613,-0.08,30,0.733,0.719,0.015,30,-0.095,-0.02638888888888889
"Escobar, Eduardo",0.143,0.228,-0.085,35,0.244,0.229,0.015,41,-0.1,0.556,0.594,-0.039,18,0.556,0.544,0.012,36,-0.051000000000000004,-0.07964615384615385
"Estrada, Thairo",0.348,0.22,0.128,69,0.229,0.211,0.018,83,0.11,0.658,0.649,0.009,38,0.655,0.601,0.055,29,-0.046,0.06227397260273972
"Farmer, Kyle",0.4,0.276,0.124,30,0.203,0.237,-0.033,59,0.157,0.529,0.635,-0.106,17,0.613,0.586,0.026,31,-0.132,0.055744525547445245
"Flores, Wilmer",0.333,0.284,0.05,33,0.263,0.255,0.008,57,0.042,0.526,0.512,0.014,19,0.481,0.56,-0.079,27,0.093,0.059250000000000004
"France, Ty",0.184,0.213,-0.029,76,0.321,0.252,0.069,84,-0.098,0.646,0.689,-0.044,48,0.633,0.653,-0.02,49,-0.023999999999999997,-0.07007003891050584
"Franco, Wander",0.185,0.204,-0.019,92,0.16,0.219,-0.059,75,0.039999999999999994,0.755,0.644,0.111,49,0.625,0.649,-0.024,48,0.135,0.07490530303030303
"Frazier, Adam",0.152,0.231,-0.08,66,0.219,0.23,-0.012,64,-0.068,0.6,0.592,0.008,40,0.529,0.559,-0.029,51,0.037000000000000005,-0.02476470588235294
"Freeman, Freddie",0.22,0.256,-0.035,59,0.268,0.258,0.01,56,-0.045000000000000005,0.645,0.654,-0.009,62,0.617,0.594,0.023,47,-0.032,-0.03867410714285714
"García, Adolis",0.258,0.267,-0.009,62,0.255,0.251,0.004,47,-0.013,0.667,0.687,-0.021,27,0.5,0.59,-0.09,32,0.06899999999999999,0.01579761904761904
"Giménez, Andrés",0.205,0.211,-0.006,78,0.31,0.2,0.11,42,-0.116,0.594,0.529,0.065,32,0.696,0.702,-0.006,23,0.07100000000000001,-0.057228571428571434
